BIOMENAME1,biome,wet,vegcover,woodycover,treecover,ht,evergreen,needleevergreen,colddeciduous,NE,BE,DD,CD,NE0,BE0,DD0,CD0
"Northeastern Deciduous Forest, Mixed Mesophytic",temperate deciduous forest,0,99,95,95,40,0.1,1,1,0.111111111,0,0,1,0.1,0,0,0.9
"Northeastern Deciduous Forest, Oak & Chestnut",temperate deciduous forest,0,99,95,95,30,0,,1,0,0,0,1,0,0,0,1
"Northeastern Deciduous Forest, Oak & Hickory",temperate deciduous forest,0,99,95,95,25,0,,1,0,0,0,1,0,0,0,1
"Northeastern Deciduous Forest, Oak, Pine & Hickory",temperate deciduous forest,0,99,95,95,25,0,,1,0,0,0,1,0,0,0,1
"Northeastern Deciduous Forest, Western Mesophytic",temperate deciduous forest,0,99,95,95,30,0,,1,0,0,0,1,0,0,0,1
Undifferentiated Nearctic Wetlands,temperate wetlands,1,99,25,0,,0,,1,0,0,0,1,0,0,0,1
Caribbean Thornscrub,thornscrub,0,60,60,0,5,0,,0,0,0,1,0,0,0,1,0
Guerreran Thornscrub,thornscrub,0,60,60,0,5,0,,0,0,0,1,0,0,0,1,0
San Lucan Thornscrub,thornscrub,0,60,60,0,5,0,,0,0,0,1,0,0,0,1,0
Sinaloan Thornscrub,thornscrub,0,60,60,0,5,0,,0,0,0,1,0,0,0,1,0
Tamaulipan Thornscrub,thornscrub,0,60,60,0,5,0,,0,0,0,1,0,0,0,1,0
Undifferentiated Neotropical Wetlands,tropical wetlands,1,99,25,0,,1,0,,0,1,0,0,0,1,0,0
Adirondack-Appalachian Alpine Tundra,tundra,0,99,10,0,1,,,,,,,,,,,
Alaskan Tundra,tundra,0,99,10,0,1,,,,,,,,,,,
Alaskan-Alpine Tundra,tundra,0,99,10,0,1,,,,,,,,,,,
Canadian (Low Arctic) Tundra,tundra,0,99,10,0,1,,,,,,,,,,,
Cascade-Sierran Alpine Tundra,tundra,0,99,10,0,1,,,,,,,,,,,
Greenlandian Coastal Tundra,tundra,0,99,10,0,1,,,,,,,,,,,
Polar (High Arctic) Tundra,tundra,0,99,10,0,1,,,,,,,,,,,
Rocky Mountain and Great Basin Alpine Tundra,tundra,0,99,10,0,1,,,,,,,,,,,
Transvolcanic Alpine Tundra,tundra,0,99,10,0,1,,,,,,,,,,,
Campechian and Veracruz Savanna Grassland,warm savanna,0,99,10,10,,,,,0,0,1,0,0,0,1,0
Caribbean Savanna Grassland,warm savanna,0,99,10,10,,,,,0,0,1,0,0,0,1,0
Central American Savanna Grassland,warm savanna,0,99,10,10,,,,,0,0,1,0,0,0,1,0
Guerreran Savanna Grassland,warm savanna,0,99,10,10,,,,,0,0,1,0,0,0,1,0
Southeastern Swamp and Riparian Forest,warm swamp,1,99,95,95,40,0,,1,0,0,0,1,0,0,0,1
